id;numeroSecuriteSociale;nom;prenom
0;121805264266599;Shelley;Renaud
1;202332172011871;Watson;Michaël
2;122710646470969;Kafka;Umberto
3;239423649122179;Leon;Mary
4;289799328854063;Eco;Arthur
5;289257002354814;Minier;Paula
6;286118400449287;Zola;Marc
7;169783340769612;Tolstoï;Robert
8;178233063161801;Kerr;Fred
9;238181961027500;Hugo;Robert
10;245391694924984;de Balzac;Jo
11;130562294071045;Nesbø;Terry
12;161064229314891;Hayes;Fred
13;101532155515956;Levy;Umberto
14;122356704659088;Nesbø;Jules
15;211609361043730;Conan;Robert
16;129728834567329;Indridason;Umberto
17;126734143651789;Roberts;Paula
18;267305154091725;Coben;Georges
19;200755621740350;London;Michel
20;108717700306335;Asimov;Arthur
21;247095966646075;Chattam;Jane
22;211322010524324;Simenon;Jean-François
23;163820298220446;Parot;Roger
24;189051331820246;de Musset;Mary
25;123248974401825;Higgins;J.
26;132713714336887;K. Rowling;Denis
27;292629401439608;Shelley;Jean
28;254064346043258;Chattam;Georges
29;132536296060212;Mention;Jo
30;112306543237566;Kepler;Louis
31;213075409144192;Fleming;Georges
32;247160614454817;Allan;Mary
33;180231050189064;Kerr;Mary
34;238165624478915;Tolstoï;Albert
35;100456082125326;Verne;Mary
36;119187427158186;Kafka;Louis
37;297473846082576;de Balzac;Roger
38;267869337622080;Higgins;Tina
39;215643180425267;Twain;Pierre
40;161919098062294;Jon Ellory;Fred
41;138448329877858;Gide;Denis
42;143240809677661;Kerr;Léon
43;207902306307136;Vargas;Terry
44;161035219405821;de Musset;Alfred
45;179889274509969;Lemaitre;Jo
46;223116603758182;Kerr;Michel
47;193620139262291;May;Bernard
48;241974178507565;Shelley;Georges
49;204625654911918;Fleming;André
50;126590528245509;May;Maxime
51;131235420297089;Proust;Renaud
52;259289103344184;Conan;Peter
53;157568776630912;Parot;Franz
54;100226991999330;Kerr;Émile
55;152187737096470;London;Michaël
56;248096320216933;Nesbø;Jules
57;248736129038469;Asimov;Jules
58;165842761498238;Seskis;André
59;287277671146845;Vargas;Camilla
60;208337539223537;Vargas;Terry
61;272254593725428;Larsson;Léon
62;291245721529520;Parot;Terry
63;129555848266422;J. Ellory;Jane
64;283998597039324;Allan;Michaël
65;235670109165709;Fleming;Maxime
66;275057255588215;Aragon;Jean
67;118212013272875;Paris;Victor
68;232408534807591;Watson;Franz
69;214511397046149;Larsson;Harlan
70;178711265134358;Gardner;Mary
71;187347115910618;Harper;Mark
72;149870463483579;Allan;Jane
73;157242964625508;Aragon;Marc
74;241877543954718;Chattam;Jack
75;180183545647996;d' Aillon;Honoré
76;231553506288981;Parot;Edgar
77;245558948510946;Tolstoï;Émile
78;183947805595585;Louis;Marcel
79;114554815976932;Lemaitre;Fred
80;176573211514052;Louis;Jean-François
81;235030381980094;Gentry;Jane
82;106778530548246;Jon Ellory;S.J.
83;262330357592173;Fleming;R.
84;288708536413630;Vargas;Paula
85;178058033513497;Coben;Edgar
86;176761800554703;Fleming;Jo
87;281617521044944;Harper;Émile
88;299281056127614;Kerr;Jane
89;190025243965738;May;Franz
90;245134180269113;Vargas;Léon
91;177204312697677;London;Harlan
92;251727914272910;Higgins;Jo
93;102777614811807;Wilde;André
94;162120778388848;Watson;Harlan
95;162832940798103;Watson;Jane
96;190503968807795;Tolstoï;Émile
97;227815814656665;Allan;Robert
98;204342207017848;Pouchairet;B.A.
99;245139225849104;Chattam;Mary
100;273033059322250;Camus;Jules
101;275603539617301;Hugo;Isaac
102;194966657381985;Bussi;Lars
103;191794925266989;Gentry;Maxime
104;237047302651577;Mention;Jean
105;159228503083258;Läckberg;André
106;154025409954045;Minier;Mark
107;146415503139278;Roberts;Victor
108;259676370674667;Wilde;Fred
109;218464942567633;Verne;Victor
110;243983014795047;Camus;Åsa
111;193931685563723;Chattam;Jane
112;105202966686074;Fleming;Isaac
113;242872928997980;de Balzac;Victor
114;217905861650518;Austen;R.
115;238640726733905;London;André
116;273571912518043;Hugo;Maxime
